시점,구분,부문별미분양현황,시도별미분양현황,규모별미분양현황
2021.0,경기도,-,"1,030",-
2021.0,세종특별자치시,-,30,-
2021.0,강원도,-,"1,648",-
2021.0,충청북도,-,304,-
2021.0,충청남도,-,"1,012",-
2021.0,전라북도,-,133,-
2021.0,전라남도,-,"2,163",-
2021.0,경상북도,-,"4,386",-
2021.0,경상남도,-,"1,879",-
2021.0,제주도,-,836,-
2021.0,수도권,-,"1,509",-
2021.0,지방,-,"16,201",-
2021.0,60-85㎡,-,-,"12,502"
2021.0,85㎡초과,-,-,"1,019"
2021.0,40㎡이하,-,-,"1,710"
2021.0,40-60㎡,-,-,"2,479"
2022.0,계,"68,107",-,"68,107"
2022.0,민간부문,"68,107",-,-
2022.0,공공부문,0,-,-
2022.0,(준공후),"7,518",-,-
2022.0,전국,-,"68,107",-
2022.0,서울특별시,-,953,-
2022.0,부산광역시,-,"2,640",-
2022.0,대구광역시,-,"13,445",-
2022.0,인천광역시,-,"2,494",-
2022.0,광주광역시,-,291,-
2022.0,대전광역시,-,"3,239",-
2022.0,울산광역시,-,"3,570",-
2022.0,경기도,-,"7,588",-
2022.0,세종특별자치시,-,6,-
2022.0,강원도,-,"2,648",-
2022.0,충청북도,-,"3,225",-
2022.0,충청남도,-,"8,509",-
2022.0,전라북도,-,"2,520",-
2022.0,전라남도,-,"3,029",-
2022.0,경상북도,-,"7,674",-
2022.0,경상남도,-,"4,600",-
2022.0,제주도,-,"1,676",-
2022.0,수도권,-,"11,035",-
2022.0,지방,-,"57,072",-
2022.0,60-85㎡,-,-,"50,589"
2022.0,85㎡초과,-,-,"7,092"
2022.0,40㎡이하,-,-,"2,421"
2022.0,40-60㎡,-,-,"8,005"
